Gene	Matched_Count	Total_Count	Mismatches
CXCL16	25	50	MED11,ZMYND15,MED11,ZMYND15,MED11,ZMYND15,MED11,ZMYND15,MED11,ZMYND15,MED11,ZMYND15,MED11,ZMYND15,MED11,MED11,MED11,MED11,ZMYND15,ZMYND15,ZMYND15,ZMYND15,ZMYND15,ZMYND15,ZMYND15
WARS	0	224	NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,WDR25,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,WARS1,WARS1,WARS1,WARS1,WARS1,WARS1,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,WARS1,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,NDUFB3P4,WARS1,WARS1,WARS1,WARS1,WARS1
CD4	58	58	None
MRC1	20	60	MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600,MIR511,LOC124902600
CPA3	26	26	None
ACTG2	54	54	None
LYPD3	6	6	None
ITGAM	54	54	None
PTGDS	19	23	LOC124902312,LCNL1,LCNL1,LCNL1
CD274	51	102	LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114
ADH1B	74	87	ADH1A,LOC100507053,ADH1A,LOC100507053,ADH1A,LOC100507053,ADH1A,LOC100507053,ADH1C,ADH1C,ADH1C,ADH1C,ADH1C
SERPINA3	94	138	CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,CHS.133523,LOC124903411,SERPINA5,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2,ADIPOR1P2
LYZ	39	39	None
KRT8	41	100	KRT8P45,KRT8P36,DZIP1L,KRT8P32,KRT8P33,CEP120,KRT8P33,CEP120,KRT8P3,ASPH,KRT8P3,ASPH,KRT8P3,ASPH,KRT8P37,MIR9898,KRT18,MIR9898,KRT18,MIR9898,KRT18,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,KRT18,MIR9898,KRT18,MIR9898,KRT18,MIR9898,KRT18,MIR9898,KRT18,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,MIR9898,KRT18,KRT18,KRT18,KRT18,KRT18,KRT18,KRT18,KRT18,KRT18,KRT18
DUSP5	23	23	None
ACTA2	60	128	ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,FAS,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1
AKR1C1	35	74	LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,LOC124902365,AKR1C2,CHS.5376,LOC124902366,LOC124900291,AKR1C3,AKR1C3,AKR1C8
RUNX1	98	235	LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,RUNX1-IT1,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014,LOC124905014
EIF4EBP1	8	8	None
SELL	74	74	None
SLAMF1	39	39	None
S100A14	43	43	None
STC1	40	40	None
TIGIT	68	68	None
PCLAF	30	44	LOC124900364,CSNK1G1,LOC124900364,CSNK1G1,LOC124900364,CSNK1G1,LOC124900364,CSNK1G1,LOC124900364,CSNK1G1,LOC124900364,CSNK1G1,LOC124900364,CSNK1G1
HPX	43	43	None
CD83	38	38	None
CD14	34	34	None
SEC24A	45	125	LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,RNU6-1164P,RNU6-757P,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192,LOC124901192
OCIAD2	36	36	None
C2orf42	52	55	TIA1,TIA1,TIA1
PIGR	25	25	None
HOOK2	57	59	MIR5684,JUNB
CCND1	25	31	LOC124902704,LTO1,LOC124902704,LTO1,LOC124902704,LTO1
EGFL7	11	25	MIR126,HSPC324,MIR126,HSPC324,MIR126,HSPC324,MIR126,MIR126,MIR126,MIR126,MIR126,MIR126,MIR126,MIR126
PDGFRB	53	96	CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383,CHS.44383
KDR	51	51	None
PLD4	30	51	AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2,AHNAK2
ANKRD30A	66	128	RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P,RNU6-811P
SOX17	10	10	None
VOPP1	78	85	LOC729086,LOC729086,PPIAL4D,RNVU1-14,LOC729086,PPIAL4D,RNVU1-14
TCL1A	32	32	None
CLEC14A	13	26	LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136,LOC112268136
TAC1	27	27	None
FOXP3	21	27	CCDC22,CCDC22,CCDC22,CCDC22,CCDC22,CCDC22
KLF5	51	51	None
MDM2	108	108	None
TIFA	49	69	AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR,AP1AR
ITGAX	64	119	LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479,LOC100422479
KRT6B	15	24	KRT75,KRT6C,KRT6C,KRT6C,KRT6C,KRT6C,KRT6A,KRT6A,KRT6A
CXCL5	18	18	None
TUBA4A	45	106	STK16,STK16,STK16,STK16,STK16,STK16,STK16,STK16,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,STK16,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B,TUBA4B
HOXD8	50	58	HOXD-AS2,LOC401021,HOXD-AS2,LOC401021,HOXD-AS2,LOC401021,HOXD-AS2,LOC401021
